Python 3.12.0 (tags/v3.12.0:0fb18b0, Oct  2 2023, 13:03:39) [MSC v.1935 64 bit (AMD64)] on win32
Type "help", "copyright", "credits" or "license()" for more information.

= RESTART: D:\2604-math-under-llm\check_r1_full.py
使用设备: cuda
找到 4 个分片: ['DeepSeek-R1-Distill-Qwen-14B-model-00001-of-000004.safetensors', 'DeepSeek-R1-Distill-Qwen-14B-model-00002-of-000004.safetensors', 'DeepSeek-R1-Distill-Qwen-14B-model-00003-of-000004.safetensors', 'DeepSeek-R1-Distill-Qwen-14B-model-00004-of-000004.safetensors']

开始分析 DeepSeek-R1-Distill-Qwen-14B，共 48 层

[分片 1/4] 加载 DeepSeek-R1-Distill-Qwen-14B-model-00001-of-000004.safetensors ...
  该分片包含的层: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
  将分析层: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]

========== Layer 0 ==========
  wq shape: torch.Size([5120, 5120]), wk shape: torch.Size([1024, 5120])
  KV头 4 | Q头 20: Pearson=+0.9822 Spearman=+1.0000 α=0.4892(残差=3.27e-03) cos(Uq,Uk)=0.1241 协方差误差=0.8088 SSR=0.006521 σ_max(Q)=2.320 σ_max(K)=4.470 cond(Q)=1598.8 cond(K)=1212.6
  KV头 4 | Q头 21: Pearson=+0.9846 Spearman=+1.0000 α=0.5165(残差=3.01e-03) cos(Uq,Uk)=0.1331 协方差误差=0.8298 SSR=0.005285 σ_max(Q)=2.197 σ_max(K)=4.470 cond(Q)=1758.4 cond(K)=1212.6
  KV头 4 | Q头 22: Pearson=+0.9909 Spearman=+1.0000 α=0.5643(残差=2.79e-03) cos(Uq,Uk)=0.1241 协方差误差=0.7342 SSR=0.007959 σ_max(Q)=2.775 σ_max(K)=4.470 cond(Q)=1984.7 cond(K)=1212.6
  KV头 4 | Q头 23: Pearson=+0.9925 Spearman=+1.0000 α=0.4902(残差=1.24e-03) cos(Uq,Uk)=0.1322 协方差误差=0.8242 SSR=0.004598 σ_max(Q)=2.331 σ_max(K)=4.470 cond(Q)=1342.5 cond(K)=1212.6
  KV头 4 | Q头 24: Pearson=+0.9871 Spearman=+1.0000 α=0.7197(残差=7.44e-03) cos(Uq,Uk)=0.1481 协方差误差=0.9768 SSR=0.011035 σ_max(Q)=3.644 σ_max(K)=4.470 cond(Q)=2893.6 cond(K)=1212.6
  KV头 5 | Q头 25: Pearson=+0.9693 Spearman=+1.0000 α=0.7913(残差=9.66e-03) cos(Uq,Uk)=0.0842 协方差误差=0.9338 SSR=0.009783 σ_max(Q)=2.547 σ_max(K)=2.966 cond(Q)=412.7 cond(K)=249.4
  KV头 5 | Q头 26: Pearson=+0.9867 Spearman=+1.0000 α=0.7365(残差=3.56e-03) cos(Uq,Uk)=0.1037 协方差误差=0.9434 SSR=0.006173 σ_max(Q)=2.348 σ_max(K)=2.966 cond(Q)=505.7 cond(K)=249.4
  KV头 5 | Q头 27: Pearson=+0.9900 Spearman=+1.0000 α=0.6481(残差=2.93e-03) cos(Uq,Uk)=0.1203 协方差误差=0.9146 SSR=0.008013 σ_max(Q)=2.202 σ_max(K)=2.966 cond(Q)=387.0 cond(K)=249.4
  KV头 5 | Q头 28: Pearson=+0.9643 Spearman=+1.0000 α=0.8880(残差=2.01e-02) cos(Uq,Uk)=0.1226 协方差误差=0.8335 SSR=0.014533 σ_max(Q)=2.950 σ_max(K)=2.966 cond(Q)=645.4 cond(K)=249.4
  KV头 5 | Q头 29: Pearson=+0.9891 Spearman=+1.0000 α=0.6789(残差=3.16e-03) cos(Uq,Uk)=0.1212 协方差误差=0.9428 SSR=0.007469 σ_max(Q)=2.127 σ_max(K)=2.966 cond(Q)=481.1 cond(K)=249.4
  KV头 6 | Q头 30: Pearson=+0.9935 Spearman=+1.0000 α=0.4849(残差=1.25e-03) cos(Uq,Uk)=0.1315 协方差误差=0.5982 SSR=0.005498 σ_max(Q)=2.704 σ_max(K)=5.102 cond(Q)=1864.1 cond(K)=1027.9
  KV头 6 | Q头 31: Pearson=+0.9625 Spearman=+1.0000 α=0.5659(残差=9.11e-03) cos(Uq,Uk)=0.1354 协方差误差=0.6264 SSR=0.009317 σ_max(Q)=3.593 σ_max(K)=5.102 cond(Q)=2061.2 cond(K)=1027.9
  KV头 6 | Q头 32: Pearson=+0.9663 Spearman=+1.0000 α=0.5261(残差=7.07e-03) cos(Uq,Uk)=0.1429 协方差误差=0.5846 SSR=0.009011 σ_max(Q)=3.304 σ_max(K)=5.102 cond(Q)=1775.8 cond(K)=1027.9
  KV头 6 | Q头 33: Pearson=+0.9971 Spearman=+1.0000 α=0.4484(残差=8.17e-04) cos(Uq,Uk)=0.1171 协方差误差=0.5990 SSR=0.006942 σ_max(Q)=2.435 σ_max(K)=5.102 cond(Q)=2138.9 cond(K)=1027.9
  KV头 6 | Q头 34: Pearson=+0.9680 Spearman=+1.0000 α=0.5851(残差=8.64e-03) cos(Uq,Uk)=0.1410 协方差误差=0.5283 SSR=0.009949 σ_max(Q)=3.682 σ_max(K)=5.102 cond(Q)=2136.9 cond(K)=1027.9
  KV头 7 | Q头 35: Pearson=+0.9511 Spearman=+1.0000 α=0.2872(残差=2.87e-03) cos(Uq,Uk)=0.1268 协方差误差=0.8008 SSR=0.006488 σ_max(Q)=1.573 σ_max(K)=4.197 cond(Q)=450.1 cond(K)=259.6
  KV头 7 | Q头 36: Pearson=+0.9406 Spearman=+1.0000 α=0.3010(残差=3.93e-03) cos(Uq,Uk)=0.1260 协方差误差=0.7682 SSR=0.007353 σ_max(Q)=1.698 σ_max(K)=4.197 cond(Q)=507.0 cond(K)=259.6
  KV头 7 | Q头 37: Pearson=+0.9648 Spearman=+1.0000 α=0.3065(残差=2.46e-03) cos(Uq,Uk)=0.1215 协方差误差=0.9087 SSR=0.008971 σ_max(Q)=1.587 σ_max(K)=4.197 cond(Q)=616.1 cond(K)=259.6
  KV头 7 | Q头 38: Pearson=+0.9365 Spearman=+1.0000 α=0.2957(残差=4.15e-03) cos(Uq,Uk)=0.1142 协方差误差=0.7502 SSR=0.008351 σ_max(Q)=1.718 σ_max(K)=4.197 cond(Q)=537.3 cond(K)=259.6
  KV头 7 | Q头 39: Pearson=+0.9476 Spearman=+1.0000 α=0.3042(残差=3.57e-03) cos(Uq,Uk)=0.1038 协方差误差=0.7597 SSR=0.007658 σ_max(Q)=1.729 σ_max(K)=4.197 cond(Q)=570.1 cond(K)=259.6

========== Layer 2 ==========
  wq shape: torch.Size([5120, 5120]), wk shape: torch.Size([1024, 5120])
