Python 3.12.0 (tags/v3.12.0:0fb18b0, Oct  2 2023, 13:03:39) [MSC v.1935 64 bit (AMD64)] on win32
Type "help", "copyright", "credits" or "license()" for more information.

= RESTART: D:/2604-math-under-llm/check_qwen2.5_14b_full.py
使用设备: cuda
找到 8 个分片: ['Qwen2.5-14B-Instruct-model-00001-of-00008.safetensors', 'Qwen2.5-14B-Instruct-model-00002-of-00008.safetensors', 'Qwen2.5-14B-Instruct-model-00003-of-00008.safetensors', 'Qwen2.5-14B-Instruct-model-00004-of-00008.safetensors', 'Qwen2.5-14B-Instruct-model-00005-of-00008.safetensors', 'Qwen2.5-14B-Instruct-model-00006-of-00008.safetensors', 'Qwen2.5-14B-Instruct-model-00007-of-00008.safetensors', 'Qwen2.5-14B-Instruct-model-00008-of-00008.safetensors']

开始分析 DeepSeek-R1-Distill-Qwen-14B，共 48 层

[分片 1/8] 加载 Qwen2.5-14B-Instruct-model-00001-of-00008.safetensors ...
  该分片包含的层: [0, 1, 2, 3, 4]
  将分析层: [0, 1, 2, 3, 4]

========== Layer 0 ==========
  wq shape: torch.Size([5120, 5120]), wk shape: torch.Size([1024, 5120])
  KV头 1 | Q头  5: Pearson=+0.9732 Spearman=+1.0000 α=0.3938(残差=7.10e-03) cos(Uq,Uk)=0.1048 协方差误差=0.8708 SSR=0.018553 σ_max(Q)=1.803 σ_max(K)=4.251 cond(Q)=376.5 cond(K)=431.5
  KV头 1 | Q头  6: Pearson=+0.9678 Spearman=+1.0000 α=0.7216(残差=2.10e-02) cos(Uq,Uk)=0.1076 协方差误差=0.8738 SSR=0.009840 σ_max(Q)=4.255 σ_max(K)=4.251 cond(Q)=1067.3 cond(K)=431.5
  KV头 1 | Q头  7: Pearson=+0.9850 Spearman=+1.0000 α=0.7045(残差=1.01e-02) cos(Uq,Uk)=0.1165 协方差误差=0.8602 SSR=0.008924 σ_max(Q)=3.740 σ_max(K)=4.251 cond(Q)=909.0 cond(K)=431.5
  KV头 1 | Q头  8: Pearson=+0.9806 Spearman=+1.0000 α=0.7329(残差=1.26e-02) cos(Uq,Uk)=0.1194 协方差误差=0.9052 SSR=0.007786 σ_max(Q)=3.835 σ_max(K)=4.251 cond(Q)=865.0 cond(K)=431.5
  KV头 1 | Q头  9: Pearson=+0.9905 Spearman=+1.0000 α=0.7138(残差=6.03e-03) cos(Uq,Uk)=0.1088 协方差误差=0.9669 SSR=0.006349 σ_max(Q)=3.550 σ_max(K)=4.251 cond(Q)=1074.7 cond(K)=431.5
  KV头 2 | Q头 10: Pearson=+0.9554 Spearman=+1.0000 α=0.5049(残差=1.10e-02) cos(Uq,Uk)=0.1482 协方差误差=0.8101 SSR=0.006285 σ_max(Q)=3.144 σ_max(K)=4.267 cond(Q)=1594.2 cond(K)=768.0
  KV头 2 | Q头 11: Pearson=+0.9824 Spearman=+1.0000 α=0.5538(残差=5.26e-03) cos(Uq,Uk)=0.1417 协方差误差=0.8188 SSR=0.005535 σ_max(Q)=3.026 σ_max(K)=4.267 cond(Q)=1811.0 cond(K)=768.0
  KV头 2 | Q头 12: Pearson=+0.9741 Spearman=+1.0000 α=0.8386(残差=2.19e-02) cos(Uq,Uk)=0.1183 协方差误差=0.8384 SSR=0.010684 σ_max(Q)=4.823 σ_max(K)=4.267 cond(Q)=2505.5 cond(K)=768.0
  KV头 2 | Q头 13: Pearson=+0.9551 Spearman=+1.0000 α=0.5215(残差=1.21e-02) cos(Uq,Uk)=0.1335 协方差误差=0.8266 SSR=0.007002 σ_max(Q)=3.285 σ_max(K)=4.267 cond(Q)=1647.8 cond(K)=768.0
  KV头 2 | Q头 14: Pearson=+0.9783 Spearman=+1.0000 α=0.5837(残差=8.01e-03) cos(Uq,Uk)=0.1366 协方差误差=0.8138 SSR=0.008121 σ_max(Q)=3.334 σ_max(K)=4.267 cond(Q)=1956.5 cond(K)=768.0
  KV头 3 | Q头 15: Pearson=+0.9596 Spearman=+1.0000 α=0.5878(残差=1.39e-02) cos(Uq,Uk)=0.1204 协方差误差=0.8445 SSR=0.010789 σ_max(Q)=3.683 σ_max(K)=4.538 cond(Q)=1195.3 cond(K)=707.7
  KV头 3 | Q头 16: Pearson=+0.9892 Spearman=+1.0000 α=0.5884(残差=4.76e-03) cos(Uq,Uk)=0.1383 协方差误差=0.8476 SSR=0.007639 σ_max(Q)=2.894 σ_max(K)=4.538 cond(Q)=1930.2 cond(K)=707.7
  KV头 3 | Q头 17: Pearson=+0.9736 Spearman=+1.0000 α=0.5339(残差=1.06e-02) cos(Uq,Uk)=0.1264 协方差误差=0.9729 SSR=0.013059 σ_max(Q)=2.841 σ_max(K)=4.538 cond(Q)=2194.1 cond(K)=707.7
  KV头 3 | Q头 18: Pearson=+0.9584 Spearman=+1.0000 α=0.4810(残差=1.10e-02) cos(Uq,Uk)=0.1293 协方差误差=0.8763 SSR=0.009415 σ_max(Q)=3.150 σ_max(K)=4.538 cond(Q)=1812.3 cond(K)=707.7
  KV头 3 | Q头 19: Pearson=+0.9793 Spearman=+1.0000 α=0.4925(残差=5.78e-03) cos(Uq,Uk)=0.1090 协方差误差=1.0068 SSR=0.008120 σ_max(Q)=2.566 σ_max(K)=4.538 cond(Q)=1879.4 cond(K)=707.7
  KV头 4 | Q头 20: Pearson=+0.9842 Spearman=+1.0000 α=0.4866(残差=3.00e-03) cos(Uq,Uk)=0.1299 协方差误差=0.8189 SSR=0.006696 σ_max(Q)=2.344 σ_max(K)=4.580 cond(Q)=1671.5 cond(K)=1288.4
  KV头 4 | Q头 21: Pearson=+0.9852 Spearman=+1.0000 α=0.5140(残差=2.94e-03) cos(Uq,Uk)=0.1256 协方差误差=0.8336 SSR=0.005284 σ_max(Q)=2.221 σ_max(K)=4.580 cond(Q)=1901.9 cond(K)=1288.4
  KV头 4 | Q头 22: Pearson=+0.9929 Spearman=+1.0000 α=0.5600(残差=2.37e-03) cos(Uq,Uk)=0.1343 协方差误差=0.7478 SSR=0.007858 σ_max(Q)=2.775 σ_max(K)=4.580 cond(Q)=2078.5 cond(K)=1288.4
  KV头 4 | Q头 23: Pearson=+0.9935 Spearman=+1.0000 α=0.4872(残差=1.08e-03) cos(Uq,Uk)=0.1470 协方差误差=0.8341 SSR=0.004180 σ_max(Q)=2.360 σ_max(K)=4.580 cond(Q)=1441.2 cond(K)=1288.4
  KV头 4 | Q头 24: Pearson=+0.9876 Spearman=+1.0000 α=0.7186(残差=7.38e-03) cos(Uq,Uk)=0.1362 协方差误差=0.9813 SSR=0.011107 σ_max(Q)=3.686 σ_max(K)=4.580 cond(Q)=3164.1 cond(K)=1288.4
  KV头 5 | Q头 25: Pearson=+0.9706 Spearman=+1.0000 α=0.7957(残差=9.26e-03) cos(Uq,Uk)=0.0951 协方差误差=0.9362 SSR=0.009922 σ_max(Q)=2.563 σ_max(K)=2.892 cond(Q)=415.4 cond(K)=256.4
  KV头 5 | Q头 26: Pearson=+0.9899 Spearman=+1.0000 α=0.7200(残差=2.56e-03) cos(Uq,Uk)=0.1092 协方差误差=0.9305 SSR=0.005916 σ_max(Q)=2.291 σ_max(K)=2.892 cond(Q)=560.6 cond(K)=256.4
  KV头 5 | Q头 27: Pearson=+0.9892 Spearman=+1.0000 α=0.6375(残差=3.11e-03) cos(Uq,Uk)=0.1254 协方差误差=0.9032 SSR=0.008514 σ_max(Q)=2.115 σ_max(K)=2.892 cond(Q)=494.1 cond(K)=256.4
  KV头 5 | Q头 28: Pearson=+0.9636 Spearman=+1.0000 α=0.8914(残差=2.08e-02) cos(Uq,Uk)=0.1186 协方差误差=0.8161 SSR=0.014958 σ_max(Q)=2.966 σ_max(K)=2.892 cond(Q)=799.9 cond(K)=256.4
  KV头 5 | Q头 29: Pearson=+0.9885 Spearman=+1.0000 α=0.6782(残差=3.40e-03) cos(Uq,Uk)=0.1172 协方差误差=0.9440 SSR=0.008075 σ_max(Q)=2.168 σ_max(K)=2.892 cond(Q)=661.5 cond(K)=256.4
  KV头 6 | Q头 30: Pearson=+0.9938 Spearman=+1.0000 α=0.4879(残差=1.28e-03) cos(Uq,Uk)=0.1285 协方差误差=0.6037 SSR=0.005824 σ_max(Q)=2.745 σ_max(K)=5.173 cond(Q)=1945.6 cond(K)=1117.2
  KV头 6 | Q头 31: Pearson=+0.9648 Spearman=+1.0000 α=0.5683(残差=8.80e-03) cos(Uq,Uk)=0.1416 协方差误差=0.6272 SSR=0.009415 σ_max(Q)=3.626 σ_max(K)=5.173 cond(Q)=2168.5 cond(K)=1117.2
  KV头 6 | Q头 32: Pearson=+0.9694 Spearman=+1.0000 α=0.5266(残差=6.56e-03) cos(Uq,Uk)=0.1575 协方差误差=0.5857 SSR=0.008951 σ_max(Q)=3.314 σ_max(K)=5.173 cond(Q)=2183.7 cond(K)=1117.2
  KV头 6 | Q头 33: Pearson=+0.9974 Spearman=+1.0000 α=0.4471(残差=8.18e-04) cos(Uq,Uk)=0.1339 协方差误差=0.6092 SSR=0.007213 σ_max(Q)=2.436 σ_max(K)=5.173 cond(Q)=2578.6 cond(K)=1117.2
  KV头 6 | Q头 34: Pearson=+0.9702 Spearman=+1.0000 α=0.5886(残差=8.32e-03) cos(Uq,Uk)=0.1350 协方差误差=0.5272 SSR=0.010006 σ_max(Q)=3.722 σ_max(K)=5.173 cond(Q)=2403.3 cond(K)=1117.2
  KV头 7 | Q头 35: Pearson=+0.9532 Spearman=+1.0000 α=0.2869(残差=2.80e-03) cos(Uq,Uk)=0.1274 协方差误差=0.7997 SSR=0.006399 σ_max(Q)=1.595 σ_max(K)=4.281 cond(Q)=482.1 cond(K)=262.3
